ID	Question	QuestionDetails	Topics	NumberOfAnswers	LawyerName	PracticeState	AnswerDetails
74	Q: If I were to start small party business selling replica purses that had the tradmark of real brand . Would I go to jail?	"I am not sure about this but have heard all sorts of rumors. I am looking into starting a party business going to others homes and having a party where I sell purses, etc. Some of the purses about 20 will be replicas (knock offs) and would have the trademark of name brand the other 40 purses of my inventory would be other brands that would be real, not knock offs. If I notify people that the 20 aren't real brand will I go to jail, is it a felony? and are there investigation teams looking for small amounts of replicas or so they look for the big stores that sell replicas?"	"Related Topics:
            
            Intellectual Property"	1	Paul Overhauser	"Indianapolis, IN"	"A: Criminal penalties are applicable in severe trademark infringement cases involving counterfeiting of products. Counterfeiting is considered to be an extreme form of trademark infrigmement since the infringer knowingly takes advantage of the trademark, brandname, and goodwill of a firm to deliberately create counterfeit products (i.e. lower quality imitations) for the purpose of seeking economic gain. The Trademark Counterfeiting Act of 1984 and the Anticounterfeiting Consumer Protection Act of 1996 address the problem of trafficking in countefeit trademarked goods and the distribution of imitations of well-known trademarked mechandise. According to these Acts ""(w)hoever intentionally traffics or attempts to traffic in goods and services and knowingly uses a counterfeit mark on or in connection with such goods or services"" is guilty of a felony. These acts ammend the Lanham Act to provide stronger civil penalties in cases involving counterfeiting.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
75	Q: Do i need a lawyer to file for a patent?	null	"Related Topics:
            
            Patents"	1	Paul Overhauser	Patents Lawyer	"A: No, you do not need a lawyer to file for a patent. The US Patent Office website lists the requirements for a patent application here: http://www.uspto.gov/patents/resources/types/utility.jsp However, it is a good idea to use an lawyer if you have not been through the patent process before. Most lay persons would not be able write a patent application that meets the requirements of the patent law.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
76	Q: My ex wants to move 2000 miles away what are my legal rights	null	"Related Topics:
            
            Other"	1	Robert Jason De Groot	"Deltona, FL"	"A: You have not given enough facts here at all. Do you have children with the ex and the ex is taking the children? You need to go see a family attorney in your area if that is the case. The ex might need to follow the law in your state for this, and it might require your written permission or a court order."
77	Q: I came up with a great idea and told my employer about it before I quit. Now she's using it. Do I have any rights?	null	"Related Topics:
            
            Employment Law"	1	Paul Overhauser	"Indianapolis, IN"	"A: There is a good chance you have rights, but more facts must be known. In particiular, did you ever sign an agreement with your employer agreeing to assign rights to any inventions to the employer. If not, was your job to ""invent"" the particualr invention? You should consult with a registered patent attorney.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
78	Q: I need to see if i can file a complaint quiet title superior circuit court in marion county indiana	null	"Related Topics:
            
            Bankruptcy"	1	Mr Jeffrey D Heck	Bankruptcy Lawyer	"A: Both Superior and Circuit Courts are courts of general jurisdiction, meaning they handle all cases. File the case with the county clerk. The computer will randomly assign you to a court. Most likely to one of the dozen superior courts. There is only one circuit court per county, so you are less likely to be assigned there."
79	Q: Should a 86 year old single senior living on sosial security income  file for bankruptcy to discharge a credit card debt	Income does not permit to make any kind of payment to payoff the balance of the account.  Balance approximatly $5000.00 and getting larger due to interst and late fees.  At this time the account is in collectors hand and they demand full payment now.	"Related Topics:
            
            Bankruptcy"	1	Burton A. Padove	"Highland, IN"	"A: If that is his only debt and he has no other assets, I would not file a bankruptcy."
80	"Q: I filed for bankruptcy in either 2002 or 2003 and my credit report still says that my case is open, how can I fix it?"	null	"Related Topics:
            
            Bankruptcy"	1	Andrew Bresalier	Bankruptcy Lawyer	"A: Only the filing of a Bankruptcy is reported on a credit report, not if it is pending.  A Bankruptcy can appear on a credit report for upto 10 years."
81	Q: Can a judgement be entered against you in one state if you were never served or given notice because you left the state	null	"Related Topics:
            
            Civil Litigation"	1	Burton A. Padove	"Highland, IN"	"A: Yes, if an agent was served or you were served by publication."
82	"Q: What is the ""inequitable conduct"" defense in patent infringement litigation?"	null	"Related Topics:
            
            Patents"	1	Paul Overhauser	Patents Lawyer	"A: A patent applicant has an obligation under 37 CFR 56 to disclose to the Patent Office information that is ""material"" to the patentability of the patent application. If the applicant withholds or misrepresents information when dealing with the Patent Office, a court, in a later infringement suit, can find the patent invalid due to inequitable conduct. Thus, this is a ""defense"" that an accused infringer may assert.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
83	Q: Does the Anti-Terrorism and Effective Death Penalty Act of 1996 foreclose Error Coram Nobis relief?	null	"Related Topics:
            
            Criminal Law"	2	Gojko Kasich	"Hebron, IN"	"A: Ooops, sorry, here's the URL:    http://scholarship.law.wm.edu/cgi/viewcontent.cgi?article=1397&context=w..."
84	Q: Where do we start if we want to get our court ordered child support re-evaluated?	"Trying to help a young urban boy get his child support and visitation re-evaluated. Unfortunately, he does not have any original documents. But he is getting a large sum garnished from his very small paycheck (he is a busboy) and in addition the mother will not let him see his daughter. I don't even know where to start without the original court order,e tc. Thanks for any direction you can give us."	"Related Topics:
            
            Family Law"	1	Burton A. Padove	"Highland, IN"	A: You should be able to backtrack and obtain the original order.  His employer should have a copy of the wage order garnishment.  The cause number and location of the court should be on there. You can then contact the clerk of the court for that county and obtain copies of the original documents.
85	Q: I've invented a toilet with an automatic exhaust fan that goes on when you sit on it.  Is it patentable?	null	"Related Topics:
            
            Patents"	1	Paul Overhauser	Patents Lawyer	"A: First, it is not a good idea to disclose your invention in a public forum like this until you have determined whether your invention is patentable.   That being said, there is not sufficient information to determine patentability.  It would be necessary to learn more information about your invention, and to conduct a search of prior systems.  I suggest you contact a registered patent attorney.

Paul Overhauser

317-891-1500

www.overhauser.com"
86	Q: The father waited too long?  Child is 5 months old and he wants to have his name added to the birth certificate.	null	"Related Topics:
            
            Family Law"	1	Burton A. Padove	"Highland, IN"	A: The father can have his name added and also assert rights if a paternity affidavit is filed or paternity established in court.
87	Q: What is a Verified Motion in Proceedings Supplemental and Interrogatories?	null	"Related Topics:
            
            Small Claims"	1	Burton A. Padove	"Highland, IN"	A: It is a pleading filed in court and served upon a company that has an asset of the defendant or his employer.  Its purpose is to confirm that the gartnishee defendant ( the person or company served)has money or an asset of the defendant that the plaintiff may be able to obtain in payment of the judgment.
88	Q: How long does it take to get a copyright registration?	null	"Related Topics:
            
            Copyright"	1	Paul Overhauser	Intellectual Property Lawyer	"A: A registration is effective as of the date the application is received by the Copyright Office. However, the registration certificate takes a while to receive. If you pay for ""special handling,"" a registration usually takes about a week. If you file an application electronically, it takes about 4 months. If you file using a paper form, it takes about 22 months! (The copyright office is severely backlogged on paper applications, as of December 2010.) However, it is imporant to register early, because if a coypright is infringed, the remedies you can recover are much, much better.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
89	"Q: My daughter lives in Illinois...she had a baby with her boyfriend, which his name is on the birth certificate"	"They are not married...can she move to Indiana with the baby, without his consent?  No paternity has officially been done."	"Related Topics:
            
            Family Law"	1	Terrence H Thorgaard	"Freeport, FL"	"A: Yes, I believe she can."
90	"Q: If you're on unsupervised probation, does it require a drug test?"	null	"Related Topics:
            
            Criminal Law"	1	Gojko Kasich	"Hebron, IN"	"A: Typically, unsupervised probation means you're mailing in a document once a month. But different probation departments work differently.  At some point, if your PO suspects that you're doing something illegal, they can pretty much treat you as if you were supervised, call you in, and make you pee in that little cup."
91	Q: Can I sue my husbands ex mistress for psych trauma and alienation of affection - she had abortion and he now has pts	As a result our marriage is over	"Related Topics:
            
            Divorce"	1	Burton A. Padove	"Highland, IN"	A: No.  Indiana does not recognize a cause of action for alienation of affection
92	Q: Mt attorney is claiming he has filed for me Why can't I find It?	null	"Related Topics:
            
            Civil Litigation"	2	Terrence Rubino	"Dyer, IN"	A: some counties here in indiana have an online docket and it is fairly easy to find if your case was filed.  some counties do not. in those counties the only way is to either call the clerk of court or go to the clerk of court offices and inquire. usually the clerks are pretty cooperative and will look for you.
93	Q: How many over nights is the father able to get?	null	"Related Topics:
            
            Child Custody"	1	JR Emerson	Divorce Lawyer	"A: You can negotiate any number of nights with the mother, I am assuming that she has primary custody.  In general, the minimum is 1x per week, and every other weekend.  If you want to spend more time with your child you can work with the mother or tell the Judge that you want more time.  If you do go to court you will want to show the Judge why spending more time with you is in the child's best interest.  Speak to an attorney to learn more.

Best of luck.

JR Emerson

Indianapolis Divorce Attorney"
94	Q: If a guy gets found innocent in a murder case and then walks out and confess and shows the picture..then what can u do	null	"Related Topics:
            
            Criminal Law"	1	Burton A. Padove	"Highland, IN"	"A: You can file a wrongful death case against him, but he cannot be prosecuted in a criminal case.  Remember O.J. Simpson was found not guilty at the criminal case, and found guilty in the civil suit brought sometime later."
95	Q: I plead guilty to a Felony D; judge reduced the conviction to misdemeanor.  What do I put on my job application?	I am applying for a federal job; when they conduct the background investigation what do I put on the government application?	"Related Topics:
            
            Criminal Law"	1	Anna R. Lindemann	null	"A: It likely depends what the application asks for. If it asks for convictions, you must disclose what you were convicted of-- which sounds like a misdemeanor offense. Whatever the final disposition of the charge reflects is what you must disclose.  If the judge amended the charge at the disposition than that should be the final disposition.  Contact the attorney that represented you on this charge if you have more detail-specific questions.  It is very important that you are completely candid when filling out the application."
96	Q: Can my Neighbor legally have 2 fences up and not take care and weed either?	null	"Related Topics:
            
            Real Estate Law"	1	Terrence Rubino	"Dyer, IN"	"A: if you live in a municpality, there probably is an ordinance about grass and weeds. the municpality will have a code enforcement officer. years ago when i was a civil referee in the hammond city court, it was routine for the city to bring code violations for grass and weeds.  hope this helps"
97	Q: Is Increased patenting time before the child is 3 in indiana automatic if non-cus parent has not followed his schedule?	"My sons father is insisting that he is to get our son, 2.5 yrs, for a week at fall break thia year. He is arguing that he has followed the parenting time schedule for the past 9 months so is entitled to the increased time. The problem I am having is that he just began going back to his regular schedule two months ago. He and I had been trying to work on things for the months prior, but it had not been going well. He was in and out of our lives and had disappeared for a couple weeks at a time. Our son also never spent time at his house during that period. My concern is that it would be veru disruptive to our son to have a full week of disruption in his routine. What are my options? Do I have to take him to court to clarify? Or would he have to take me to court to try to proove he qualifies? I really would like to keep this out of court if possible."	"Related Topics:
            
            Family Law"	1	Robert Jason De Groot	"Deltona, FL"	A: Are you asking what a court order and agreement say without providing either to the people you are posing the question to? Set up a conference with a local family lawyer to have a full discussion.
98	Q: I will be 21 in 30 days i have court in 7 days for consumption. Will the court take into account I am almost legal?	"I just got out of the army and moved here to live with my mother until work picks up in the spring. The night I was ticketed I feel that I was being very reasonable and safe. We had a designated driver, and we were going straight home from where we were drinking at. I served this country to protect our freedom but I don't get any freedom myself? I because I had a few beers I'm at risk of losing my license when I was in the back seat."	"Related Topics:
            
            DUI / DWI"	1	Richard Carl Perry Jr.	DUI & DWI Lawyer	"A: Because of your age, you should be eligible for youthful offender status.  In order to receive YO, you would have to apply for it once you are in court.  If you do not have a criminal history and the crime with which you were charged is non-violent, the judge should grant you YO.  YO will give you a one time opportunity, after attaining the age of majority, to keep your record clean.  Be sure to either hire an attorney or ask the court to appoint you an attorney who is familiar with YO, get them to explain it to you, and be sure to take their advice.  It is very well worth taking advantage of the opportunity to apply for YO."
99	Q: Name come up on database asign to name fd id tenn. Dba indiana	Grady cont. Company asign 751 north u.s.6 box 636 kendallville indiana 46755 father past away me the son asigian and susscesser for lots fd id in ten	"Related Topics:
            
            Family Law"	2	Timothy Coe	"Westfield, IN"	A: I am having a lot of trouble understanding your question.
100	Q: How do I go about hiring a PCR attorney	null	"Related Topics:
            
            Other"	1	Burton A. Padove	"Highland, IN"	"A: This is no different than any other attorney hiring.  Check referrals from friends, bar association referral services, internet, yellow pages.  You could google PCR attorneys in Indiana and find appellate case decisions and see who the attorneys were."
101	Q: Can I absolve this debt and how?	"I co-signed at a buy here pay here car place several years ago. The owner of the car has not paid over $4000 on the car and is refusing to pay so the debt is landing on me. I have not even seen the car in over 3 years. I recently had a court date without any representation, the owner of the car did not show and the entire debt got laid solely on me. Is there anything I can do to absolve myself of this debt?"	"Related Topics:
            
            Contracts"	2	Charles Snyderman	"Wilmington, DE"	"A: Depending on your circumstances, you may wish to consult a bankruptcy attorney."
102	Q: Can I have my ex girlfriends claim against me dropped due to her new guy friend txting an calling me with threats?	It started back in April before our court date..an is still going on an court was June 22...he is still threatening me..I spamed his calls an txt back in april..an had to check something an I bet there's 30 messages from him...I ask her back then to have him stop..she didn't care..	"Related Topics:
            
            Criminal Law"	1	Robert Jason De Groot	Criminal Law Lawyer	"A: This has nothing to do with the crime you are charged with, it is not a defense. Get counsel on your side."
103	Q: Am I allowed to take my child out of state for a short vacation without getting in trouble?	Neither parent has any court ordered parental rights	"Related Topics:
            
            Family Law"	1	Timothy Coe	"Westfield, IN"	"A: If there is no court order regarding custody and visitation then the answer is a qualified yes. You should inform the other parent. When you pose a question on line we need a lot of facts because these situations are often much more complex than the questions let on. If you are the non-custodial parent then you need to make arrangements with the custodial parent, if you just take of with your kid that is a great way to end up in jail. There is no reason for all of that if the parties coordinate schedules in advance so one of you isn't pulling their hair out with worry while the other is unaware until they land in a jail cell."
104	Q: Can a person who is black be convicted by an all white jury? and not of his peers. Is this legal?	null	"Related Topics:
            
            Civil Rights"	1	Terrence Rubino	"Dyer, IN"	"A: yes.

the issue of race may come into play if the opposing side is using its peremptory(discretionary)strikes to eliminate a particular race from serving one the jury."
105	Q: I applied for and was denied a recovery agent license due to answering a question wrong	#2 on application I understood as employment discipline and answered no... My preliminary review hearing (appeal)order states that will be the issue talked about. Will I have to explain all my past  mistameanor convictions even though the 5 year requirement has past	"Related Topics:
            
            Appeals / Appellate Law"	1	Robert Jason De Groot	Appeals & Appellate Lawyer	A: I do not understand this question.
106	Q: I filed for bankruptcy and I have letter that says act before Oct 1. I can't get ahold of a lawyer	null	"Related Topics:
            
            Bankruptcy"	1	Andrew Bresalier	Bankruptcy Lawyer	"A: If you have a lawyer, show up at his office.  If still no response contact your respective state bar association.  If you do not have an attorney, your lack of counsel is generally no excuse and you should act."
107	Q: Former employer informed many business owners I stole $100K from him.  Untrue.  Defamation?	null	"Related Topics:
            
            Employment Law"	2	Burton A. Padove	"Highland, IN"	A: Absolutely untrue.  You also may have other causes of action.
108	Q: In indiana how long can a collections agency bill you?	null	"Related Topics:
            
            Collections"	1	Burton A. Padove	"Highland, IN"	"A: There is no law setting a limit on billing.  However, there is a law called the statute of limitations that limits how long they have to sue you."
109	Q: I have a house that is getting foreclosed I owe to much on it  can I file chapter 7 I am within the means for bankruptcy	Also I cannot afford a high priced attorney	"Related Topics:
            
            Bankruptcy"	1	Mr Jeffrey D Heck	Bankruptcy Lawyer	"A: I do not follow the question. But if you are asking if you can file bankruptcy after a foreclosure has already atarted, then the answer is yes. In some cases that is helpful. In some cases it will have limited benefit. Talk to a lawyer to learn which applies to. You."
110	Q: Can a default judgment for libel be discharged by bankruptcy in the State of Indiana?	"I sued my ex-husband for libel and defamation in 2008 and recently was awarded $ in a default judgment. He insists that he can file bankruptcy and it will be discharged. My atty had no choice but to remove herself and the firm from the case when it was decided that he wasn't collectible. If he files for bankruptcy, how will I know?"	"Related Topics:
            
            Bankruptcy"	1	Terrence Rubino	"Dyer, IN"	"A: if he files bankruptcy intending to discharge his indebtness to you (the defamation judgment), he has to list you in the BK petition and notify you in writing accordingly. i don't think he will be able to discharge it because it is an intentional tort as opposed to a negligent tort. regardless, if you get served with a copy of a bk notice you need to consult with a bk lawyer in your locale."
111	"Q: In a car accident where everyone denies fault, is it best to go through your insurance or hire a lawyer?"	"2 car accident at 4 way stop. One car ran their sign. Over $3,000 damage to rear passenger side of one car."	"Related Topics:
            
            Car Accidents"	1	Terrence Rubino	Personal Injury Lawyer	"A: assuming you were not injured, the smartest and easiest thing to do is to go through your collision coverage with your insurance company. it will initially cost you the deductible.  your insurance company will then pursue the other company for what it paid plus your deductible.  if it collects, it will collect your deductible too.  good luck."
112	"Q: WHEN WILL THE PEOPLE WHO FILED A LAWSUIT WITH SEROQUEL, WILL START GETTING PAID"	null	"Related Topics:
            
            Personal Injury"	1	Burton A. Padove	"Highland, IN"	"A: All lawsuits take time.  This is especially true with complex litigation and drug liability cases are among the most complex, especiallu since it is a class action. I am sorry that I cannot give you a more specific response."
113	Q: Who won the Texas v Johnson case?	null	"Related Topics:
            
            Constitutional Law"	1	Robert Jason De Groot	Criminal Law Lawyer	A: Read it. You can find summaries on the internet and probably even the whole opinion.
114	Q: Why do we need to turn over our IRS refund if our bankruptcy Chapter 7 has been finished (discharged).	null	"Related Topics:
            
            Bankruptcy"	1	Andrew Bresalier	Bankruptcy Lawyer	A: Because it was a right to something that existed prior to the filing of the case and therefore was subject to the Bky.
115	Q: How long is the time frame to file a defemation of character?	null	"Related Topics:
            
            Employment Discrimination"	1	Paul Overhauser	"Indianapolis, IN"	"A: In Indiana, defamation is considered a personal injury, so it is subject to a two year statute of limitations.  There can be some exceptions, such as if the defamed person is a minor.

Paul Overhauser

www.overhauser.com

317 891-1500"
116	Q: Can an attorney be sued by an heir over wrong doing	null	"Related Topics:
            
            Estate Planning"	1	Timothy Coe	Estate Planning Lawyer	"A: As most things in the law, it depends. I would need to know more about the specifics of the case, what you think should have happened, why you think it didn't, and why it was the attorney's fault."
117	Q: Can 2 felons get married in the state of Indiana	The guy will be off house arrest in 2 weeks but his girlfriend is on curfew probation until December can they get married as son as he is off house arrest ? They both go to church and live a Godly lifestyle and plan to continue to stay in church and live as Christians	"Related Topics:
            
            Criminal Law"	1	Robert Jason De Groot	Criminal Law Lawyer	A: One of the standard conditions of probation across the US is that you cannot associate with known criminals. Run this by the probation officers for the felons.
118	Q: How do I petition the court for an income withholdings order ? For a child support order already in place ?	null	"Related Topics:
            
            Family Law"	1	Burton A. Padove	"Highland, IN"	"A: You need to read your local court rules, the Indiana Trial Rules and the Indiana Administrative Code.  All of which are located at www.in.gov/judiciary. The requirements in different courts vary. If there is not an order already in place that states that there should be a wage order, you either have to submit an agreed wage order or petition the court for such an order to be issued.  You then will need to draft an appropriate wage order and submit it to the court for

entry and approval. I suggest that you contact an attorney as you do not want to do anything that could delay payments.  Good luck."
119	Q: Doctor with established expertise in field. Do I have grounds for a libel/slander case?	"I am doctor with a reputation of expertise in my field. I received disciplinary action as a result of untrue statements made by another doctor in a position of unofficial authority over me. This person provided a false formal written statement to be placed in my personnel file in support of a corrective action plan she initiated. There is also evidence of email correspondence damaging to my reputation to uninvolved parties, parties outside of my company,  and to my direct administrative and clinical supervisors. This person is also reported to have engaged in gossip, and reportedly solicited information about me in meetings with my subordinates in order to obtain what was referred to as “dirt on me.” I still work at this company. Do I have any preliminary grounds for a libel or slander case, and will this impact my employment with this company?"	"Related Topics:
            
            Libel & Slander"	1	Timothy Coe	"Westfield, IN"	"A: Based solely on the facts presented, yes, with a caveat. That caveat being that there may be some privilege within the profession or recognized in the law that may absolve her of such liability. It is best to speak with a local lawyer with whom you can divulge all of the facts. There are 5 basic elements to a defamation claim; 1. a false statement, 2. about the Plaintiff, 3. published to a third party, 4. damage to reputation, (5. depending on the public figure/matter of public concern analysis, either, strict liability, negligence, or what is called actual malice). This can be a very complicated area of the law to argue and defend. It is best to talk to a local lawyer who has some experience with this type of case. 

Best of luck!"
120	Q: Is it illegal to cross over a white line?	null	"Related Topics:
            
            Traffic Tickets"	1	Burton A. Padove	"Highland, IN"	"A: Yes, it is illegal to do so"
121	Q: Married 20+ husband own two houses. I don't work and have 5 kids. Am i entitled to something?	He wont come to a agreement and keeps stalling. he also has a abuse record.	"Related Topics:
            
            Divorce"	1	Timothy Coe	"Westfield, IN"	"A: More information is required to answer this question fully, and you should have an attorney of your own if there is going to be a contest as to children or property. Indiana is a community property state, so anything acquired during the divorce is marital property that is presumed to be split 50/50. If your husband is stalling and you want to move things along, file a motion for a hearing, either provisional, or final depending where you are in the process. Again, a lot more information is needed before I can go any further, you should have an attorney who is familiar with all the facts advising you and working to protect your interests in your divorce. 

Best of luck!"
122	Q: What form do I use to notify the custodial parent of my intentions to move out of state.	null	"Related Topics:
            
            Child Custody"	1	Burton A. Padove	Divorce Lawyer	A: There is no form.  You are required to provide notice pursuant to the Indiana Relocation Statute.  You may be able to hire an attorney for ths e sole purpose of drafting the appropriate document.
123	Q: I lost my copyright registration certificate for software I registered years ago.  How do find my information?	null	"Related Topics:
            
            Copyright"	1	Paul Overhauser	Intellectual Property Lawyer	"A: The Copyright office maintain an web-searchable database of copyright registrations, which you can access here: http://www.copyright.gov/records/

Paul Overhauser

317 891-1500

www.overhauser.com"
124	Q: I have been married for 3 years. Can my wife still take my pension and annuity?	null	"Related Topics:
            
            Divorce"	1	Timothy Coe	"Westfield, IN"	A: Typically only the portion of the pension that was earned while married is subject to a split of marital property. But these issues get very technical and sometimes complicated to do a Qualified Domestic Relations Order QDRO. I would definitely recommend talking to an attorney.
125	Q: Debating divorce.  Spouse wants to refinance  home with new mortgage in only my name.  I'll keep it.  Is this a bad idea	null	"Related Topics:
            
            Divorce"	1	Timothy Coe	"Westfield, IN"	A: Usually after a divorce the spouse that keeps the house refinances it in order to get the name of the other spouse off the mortgage.
126	Q: Can I write to the Patent Office about my application after it is filed?	null	"Related Topics:
            
            Patents"	1	Paul Overhauser	Patents Lawyer	"A: The Patent Office will answer an applicant's inquiries as to the status of the application, and inform you whether your application has been rejected, allowed, or is awaiting action. However, if you have a patent attorney or agent of record in the application file the Office will not correspond with both you and the attorney/agent concerning the merits of your application. All comments concerning your application should be forwarded through your attorney or agent.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
127	"Q: Difference in opinion of my vehicles worth. Claimant's insurance carrier is shorting me $1,000.00. What is my recourse?"	"Other party did not yield right of way and pulled into the path of my vehicle. I broad sided her.  It totaled my 1994 Chev Silverado PU. The value of my truck was $3,000 before the loss.  The insurance company wants to settle for $2,000.00. Like kind replacement vehicles are higher than the $3,000.00. What is my recourse?  Are they obligated to replace my vehicle with like kind?"	"Related Topics:
            
            Car Accidents"	1	John M DeProspo	Personal Injury Lawyer	A: Has the insurance company assumed 100% liability? That may be the reason the are offering you less.
128	Q: What is a copyright?	null	"Related Topics:
            
            Copyright"	2	Vincent Thomas Lyon	Intellectual Property Lawyer	"A: LMGTFY

http://en.wikipedia.org/wiki/Copyright"
129	Q: We already filed for divorce and have been to court. How do I finalize the divorce and more forward?	null	"Related Topics:
            
            Divorce"	1	Timothy Coe	"Westfield, IN"	"A: I'm guessing you went to court for the provisional hearing. If 60 days have passed you can move for a final hearing, but depending on how busy the courts are in your county it may be a little bit of a wait until the final hearing is scheduled. I always recommend that (1) you hire an attorney to help you out, and (2) that you try to work out an agreement between the parties instead of using court time to secure a final dissolution of the marriage."
130	Q: Can charges be filed against an individual who is spreading lies constantly?	"I live in Indianapolis, IN and I have a female friend that I have been with intimately very seldom over the past two years. She also dated a guy who is very jealous of her because she does not want to be with him.  This nut has been spreading lies about me for many years but I don't let him get to me.  But last year he told some women that I know that I have HIV.  That was the last straw for me so I finally confronted him and predictably he denied ever saying anything like that about me.  The friend whom I mentioned in the beginning of this text informed me today that he followed a date she was with into the bathroom and told this guy that she had AIDS.  He e-mailed her the next day and told her that she got it from me.  Neither of us has any kind of STD. I informed her that there has got to be some legal remedy for something like this.  Can you please give me some guidance so I can share it with her.  Is there any legal recourse?  Thanks!"	"Related Topics:
            
            Libel & Slander"	2	Burton A. Padove	"Highland, IN"	"A: Yes, there is legal recourse.  YOu ca nsue him for defamation.  You also may be able to obtain a restraining order."
131	"Q: Is the ""right of publicity"" valid in all 50 states?"	null	"Related Topics:
            
            Intellectual Property"	1	Paul Overhauser	"Indianapolis, IN"	"A: No, the ""right of publicity"" varies considerably from State to state, so check with an attorney in your state. Indiana is viewed as having the most favorabel ""right of publicty"" statute anywhere in the country, as discussed here: http://www.iniplaw.org/2010/12/horror-pops-lead-singer-patric.html

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
132	Q: What is the limitation period for tortous liability?	null	"Related Topics:
            
            Civil Rights"	1	Burton A. Padove	"Highland, IN"	"A: Generally speaking, torts have a limitation of 2 years.  However, there may be other statutry deadlines depending on the facts of your case."
133	Q: Would it be legal to give a cop the middle finger?	null	"Related Topics:
            
            Criminal Law"	2	Paul Stanko	Criminal Law Lawyer	"A: Yes.  Giving anybody the finger, while arguably crude, is protected expression under the First Amendment of the U.S. Constitution."
134	Q: I own a business that is in an LLC.  My will says it goes to my kids.  I'm thinking about setting up a living trust so	It will go to my kids without going through probate.  Is that the only way to do it?	"Related Topics:
            
            Estate Planning"	1	Michael Ray Smith	Estate Planning Lawyer	"A: A living trust can be a good way to leave your business to your children, but it's not the only way.   Another very good way to do it is to designate your LLC interest as transfer on death (TOD) property with your children as benefiaries."
135	Q: Can my business partner sell his half of the corp. with out my approval? We own equal shares in a sports bar in Indiana.	null	"Related Topics:
            
            Business Law"	1	Adam Studnicki	"Phoenix, AZ"	A: The corporate documents should be reviewed to answer this question.  Be well.
136	"Q: What does ""Judgment to be Satisfied"" mean in a Sheriff sale of a house"	null	"Related Topics:
            
            Bankruptcy"	1	Mr Jeffrey D Heck	Bankruptcy Lawyer	"A: I would have to see the form, but I believe you are referring to the original debt owed as reduced to the form of a judgment."
137	Q: Is the Indiana Supreme Court wrong in there ruleing regarding public intox and the right to travel	null	"Related Topics:
            
            Constitutional Law"	1	Terrence Rubino	"Dyer, IN"	A: the supreme court ruled that if you are a passenger in a car and you are drunk then you can be prosecuted for public intoxication. the ruling simply follows the statute by determining that a car on the road is considered a public place.
138	"Q: If I am attempting to patent something, how much is a lawyer needed?"	null	"Related Topics:
            
            Patents"	1	Paul Overhauser	Patents Lawyer	"A: If you have experience with patents, you may not need an attorney. For example, if you are an inventor at a large company that has patented many of your ideas, you may be very familiar with the process and how to write an application. Failing this, you really should use an attorney. I say this based on the many rejections I've seen from the Patent Office based on applications written by novices.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317-891-1500"
139	Q: How do I block a Motion to Release Funds?  My ex wants to cash out CD's belonging to my 20 year old son.	null	"Related Topics:
            
            Family Law"	1	Burton A. Padove	"Highland, IN"	"A: You need to file an objection and state why it is in your son's best interest that these should  not be cashed out.  Due to his age, the court may want some input from your son."
140	"Q: My husband filed for divorce, what should I do?"	null	"Related Topics:
            
            Divorce"	2	Burton A. Padove	"Highland, IN"	"A: You can either proceed representing yourself or hire counsel.  If you have any assets or debts to contest, own real estate or have minor children you should seriously consider consulting with an attorney. Good luck."
141	Q: My cousin adopted her grandkids last yr.  She can't care for them now. How can I go about adopting them?	"My cousin adopted her 4 grandkids last year (all in elementary school).  Due to some unforeseen reasons, she is no longer able to care for them.  What steps do I need to take in order to adopt these kids?  Their biological parents gave up their rights and my cousin adopted these children by going to court.  Since she can no longer care for these children, besides getting a lawyer, what will I need to do to adopt them?  Just wanted to know what steps I will need to take.  Thank you."	"Related Topics:
            
            Adoption"	1	Mr Jeffrey D Heck	"Carmel, IN"	"A: The most involved step is that you need a social worker to produce a home study report. This can be done through most adoption agencies. This report is intended to demonstrate to the judge that you are financially, physically, psychologically, and legally able to adopt. With this report in hand, most of the rest of the work is done by the lawyer"
142	Q: Can a company penalize you after a contract is signed for something that happened before the contract date?	null	"Related Topics:
            
            Contracts"	1	Burton A. Padove	"Highland, IN"	"A: If there is language in the contract allowing for the penalty on prior acts, yes."
143	Q: I have been removed from the sex offender list in Illinois.  If I move to Indiana do I need to notify the state?	If have been removed from the sex offender list in the state of Illinois as the conviction was over ten years ago. I am no longer on the list in Illinois.  If I move to Indian do I need to notify the state even though I am no longer on the sex offender list in Illinois?	"Related Topics:
            
            Criminal Law"	1	Robert Jason De Groot	Criminal Law Lawyer	A: Perhaps. You need to find out the requirements in the new state.
144	Q: Federal court and Indiana state court  ordered to make payments toward a same balance. Is this double Jeopardy?	null	"Related Topics:
            
            Criminal Law"	1	Burton A. Padove	"Highland, IN"	"A: Double jeopardy is a criminal law concept.  It sounds as if these are judgments in a civil case, so double jeopardy would not apply."
